Avg_cluster_PosY,Proportion(%),Removed Rows,StdFirstInt,StdTilEnd
0.37848924918555854,16.0,9252.0,0.16465161149898425,0.014499804614322681
0.46410616808647354,21.0,12283.0,0.14534461460105816,0.014039260993389232
0.414411518123595,11.0,6259.0,0.1370261828911678,0.012790527034547215
0.4803896320182266,7.0,4138.0,0.15900576506014905,0.013728620455360604
0.550526669639238,23.0,12816.0,0.1551446134217,0.013123709656533223
0.3671266133729113,12.0,7050.0,0.14514116177571665,0.014597079319438105
0.455431040194743,31.0,17590.0,0.15353612464649025,0.01575329177045421
0.4167861153028264,18.0,10388.0,0.15641962528305592,0.015388582726427494
0.40439871837759994,30.0,16745.0,0.15756608147399795,0.01746195560784677
0.3726847988370945,19.0,12281.0,0.16143200826212886,0.016721878221817785
0.48817552401239006,1.0,680.0,0.16486089802516388,0.015566486147869136
0.4672036323405261,4.0,2318.0,0.17249177222390413,0.017758509569063247
0.43351913519964486,14.0,8141.0,0.1544028078457303,0.014722219442545028
0.4380266635907038,16.0,9248.0,0.1655087944058942,0.01721139543855168
0.4578321066310792,13.0,7421.0,0.17296596851848453,0.017706210229199035
0.44638700233360196,14.0,8504.0,0.1328431254042859,0.013349966126471114
0.44664148613385424,18.0,10707.0,0.18219626691493315,0.017451969590899855
0.491424703365283,18.0,10011.0,0.13254750602157025,0.011452802572223319
0.4551993177490154,10.0,6050.0,0.15925844247543983,0.01603341090850695
0.5109186555247021,11.0,6287.0,0.1701540178714531,0.017066470674448816
