(351.782400, -16.107570, 856.580700)
(351.782400, -16.102670, 856.580700)
(351.782400, -16.102630, 856.580700)
(351.782400, -16.102630, 856.580700)
(351.782400, -16.102630, 856.580700)
(351.782400, -16.102630, 856.580700)
(351.782400, -16.102630, 856.580700)
(351.782400, -16.102630, 856.580700)
(351.782400, -16.102630, 856.580700)
(351.782400, -16.102630, 856.580700)
(351.757600, -15.888370, 856.582500)
(351.757600, -15.888370, 856.582500)
(351.808300, -15.825060, 856.635000)
(351.816700, -15.735340, 856.655600)
(351.790300, -15.638020, 856.647200)
(351.790300, -15.638030, 856.647200)
(352.573000, -15.057860, 857.364400)
(352.573000, -15.057870, 857.364400)
(357.397100, -13.268240, 861.534400)
(357.462300, -13.372780, 861.569600)
(357.415000, -13.973630, 861.440500)
(357.385200, -14.029530, 861.410000)
(357.279400, -14.688400, 861.224400)
(357.279400, -14.688400, 861.224400)
(357.199400, -15.156010, 861.087300)
(357.207000, -15.085680, 861.103100)
(357.207000, -15.085680, 861.103100)
(345.011100, -21.047740, 850.343800)
(345.011100, -21.047740, 850.343800)
(343.442600, -21.783240, 848.998600)
(343.345300, -21.886700, 848.904800)
(343.411500, -21.861880, 848.975000)
(343.319000, -21.896440, 848.895400)
(343.368300, -21.904450, 848.942300)
(343.081500, -21.982770, 848.678000)
(331.081200, -20.123900, 839.226200)
(331.081200, -20.123890, 839.226200)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(326.488200, -17.652010, 835.261100)
(326.488200, -17.652000, 835.261100)
(325.830700, -17.665100, 834.350900)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(313.758200, -17.332850, 821.758500)
(314.139000, -17.580640, 822.068400)
(313.329900, -17.357080, 820.790000)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(304.274800, -16.825530, 807.671400)
(0.000000, 0.000000, 0.000000)
(301.819200, -14.676250, 802.820400)
(303.823100, -14.940080, 805.033900)
(302.667800, -14.847500, 802.489900)
(302.667800, -14.847500, 802.489900)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(302.713900, -16.204220, 798.303200)
(302.713900, -16.204220, 798.303200)
(301.228200, -15.932130, 793.394500)
(301.228200, -15.932130, 793.394500)
(301.228200, -15.932130, 793.394500)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(295.931100, -11.073160, 776.720000)
(294.834700, -9.946440, 771.396600)
(295.726000, -9.061271, 771.128500)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(295.686600, -8.164137, 765.873500)
(292.366500, -6.202518, 753.426500)
(290.885700, -4.015788, 744.493700)
(290.885700, -4.015826, 744.493700)
(0.000000, 0.000000, 0.000000)
(290.388900, 0.720195, 730.940600)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(293.220200, 0.100610, 723.118700)
(293.954000, 0.639908, 721.060000)
(293.954000, 0.639826, 721.059900)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(0.000000, 0.000000, 0.000000)
(295.837900, -2.235780, 718.136400)
(0.000000, 0.000000, 0.000000)
