(0.519355, 0.435274)
(0.521080, 0.434112)
(0.521132, 0.434042)
(0.521132, 0.434042)
(0.521132, 0.434042)
(0.521132, 0.434042)
(0.521132, 0.434042)
(0.521132, 0.434042)
(0.521132, 0.434042)
(0.521132, 0.434042)
(0.521132, 0.434042)
(0.521132, 0.434042)
(0.521132, 0.434042)
(0.224078, 0.425267)
(0.248614, 0.422371)
(0.279665, 0.421417)
(0.301837, 0.421365)
(0.346195, 0.420680)
(0.368076, 0.420862)
(0.343722, 0.429695)
(0.280554, 0.439221)
(0.299521, 0.438249)
(0.320458, 0.436285)
(0.341738, 0.436687)
(0.360123, 0.436388)
(0.374833, 0.437017)
(0.386887, 0.435721)
(0.396938, 0.433335)
(0.407018, 0.431761)
(0.438798, 0.433569)
(0.454451, 0.433140)
(0.446427, 0.434641)
(0.344344, 0.448939)
(0.336400, 0.448581)
(0.343820, 0.446055)
(0.353066, 0.445250)
(0.362852, 0.441478)
(0.375280, 0.439963)
(0.377870, 0.450373)
(0.344069, 0.479583)
(0.341080, 0.474254)
(0.355269, 0.468820)
(0.355269, 0.468820)
(0.370268, 0.467433)
(0.388611, 0.467406)
(0.437462, 0.567253)
(0.449660, 0.585898)
(0.530049, 0.675975)
(0.521150, 0.667395)
(0.516410, 0.666029)
(0.508889, 0.662890)
(0.499295, 0.657906)
(0.493300, 0.658280)
(0.496287, 0.672387)
(0.501305, 0.678963)
(0.503183, 0.676715)
(0.504289, 0.672711)
(0.505691, 0.668891)
(0.509020, 0.662903)
(0.644398, 0.532132)
(0.765688, 0.387220)
(0.765592, 0.380851)
(0.750905, 0.378902)
(0.734280, 0.376908)
(0.719572, 0.372232)
(0.702421, 0.363364)
(0.688995, 0.358381)
(0.698533, 0.389798)
(0.696738, 0.391255)
(0.689162, 0.385158)
(0.679423, 0.377987)
(0.675274, 0.374143)
(0.671360, 0.371954)
(0.666256, 0.371954)
(0.666256, 0.371954)
(0.656196, 0.375642)
(0.656196, 0.375642)
(0.649382, 0.379754)
(0.642894, 0.382073)
(0.720717, 0.386833)
(0.755302, 0.387730)
(0.744664, 0.390706)
(0.744664, 0.390706)
(0.664615, 0.388797)
(0.000000, 0.000000)
(0.639857, 0.388449)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.716507, 0.363150)
(0.663720, 0.371460)
(0.644776, 0.370439)
